dataset,status,acc,fp_measure,nmi,ari,purity,inv_purity,bcubed_f1,block_thr,api_calls,in_tokens,out_tokens,cost_usd,llm_time_s,wall_s,log
cora,ok,0.8069,0.8995,0.9380,0.7972,0.8726,0.9282,0.8568,0.9,309,174634,8175,0.1678,554.54,59.03,cora.log
Walmart_Amazon,ok,0.6222,0.7754,0.9418,0.2871,0.8302,0.7273,0.7638,0.487,960,2319621,24171,1.8485,1723.83,1106.49,Walmart_Amazon.log
Amazon-Google,ok,0.5044,0.6698,0.9404,0.1480,0.9102,0.5298,0.6638,0.9,373,76835,5485,0.0823,574.98,64.64,Amazon-Google.log
affiliation,ok,0.5788,0.7274,0.8915,0.5201,0.8704,0.6248,0.6426,0.698,1176,307713,33686,0.3824,2116.05,1619.38,affiliation.log
song,ok,0.7114,0.8304,0.9599,0.7272,0.9876,0.7163,0.7904,0.7,1206,320089,19249,0.3267,1900.49,61.25,song.log
google-DBLP,ok,0.7132,0.8418,0.9490,0.2993,0.8507,0.8331,0.8086,0.7,2958,916033,64248,0.9761,5035.58,1341.19,google-DBLP.log
citeseer,ok,0.9200,0.9583,0.9899,0.9233,0.9973,0.9223,0.9447,0.7,3037,846347,51804,0.8679,5074.37,170.03,citeseer.log
sigmod,ok,0.4671,0.6309,0.8463,0.2243,0.5107,0.8251,0.5577,0.797,9821,16855327,348855,14.2113,18017.00,17459.98,sigmod.log
music20K,ok,0.7745,0.8723,0.9777,0.6398,0.9904,0.7794,0.8532,0.7,3706,9107028,62200,7.1102,5417.35,241.58,music20K.log
