dataset,n_records,n_pred_clusters,n_gt_clusters,acc,fp_measure,nmi,ari,purity,inv_purity,bcubed_f1,bcubed_p,bcubed_r,pair_p,pair_r,pair_f1,api_calls,in_tokens,out_tokens,cost_usd,llm_time_s,log
music10K,10000,6578,6772,0.9662,0.982,0.9964,0.9277,0.9729,0.9912,0.9787,0.9679,0.9898,0.9498,0.6338,0.7603,18801,95347786,150591,72.1885,1914.6,results/eval_llmcer/run_20260630_201844/music10K.log
music20K,20000,10315,10000,0.9389,0.9679,0.9941,0.8995,0.9861,0.9504,0.9625,0.9823,0.9435,0.9818,0.4873,0.6513,28793,145637029,224423,110.2377,2980.9,results/eval_llmcer/run_20260630_201844/music20K.log
music30K,30000,12294,10000,0.8387,0.9117,0.9847,0.786,0.9963,0.8403,0.897,0.9953,0.8164,0.9963,0.3209,0.4854,33821,171347071,258757,129.6747,3419.7,results/eval_llmcer/run_20260630_201844/music30K.log
